Timestamp,Motor_Position,Potentiometer_Data,Degree
2024-07-24 18:49:33,198,45,68.53846153846153
2024-07-24 18:49:33,198,47,68.53846153846153
2024-07-24 18:49:33,212,56,73.38461538461539
2024-07-24 18:49:33,249,72,86.1923076923077
2024-07-24 18:49:33,277,81,95.88461538461539
2024-07-24 18:49:33,283,84,97.96153846153845
2024-07-24 18:49:33,283,82,97.96153846153845
2024-07-24 18:49:34,283,81,97.96153846153845
2024-07-24 18:49:34,283,83,97.96153846153845
2024-07-24 18:49:34,283,80,97.96153846153845
2024-07-24 18:49:34,283,82,97.96153846153845
2024-07-24 18:49:34,283,81,97.96153846153845
2024-07-24 18:49:34,283,82,97.96153846153845
2024-07-24 18:49:34,283,81,97.96153846153845
2024-07-24 18:49:34,283,82,97.96153846153845
2024-07-24 18:49:34,283,81,97.96153846153845
2024-07-24 18:49:34,279,82,96.57692307692308
2024-07-24 18:49:34,279,82,96.57692307692308
2024-07-24 18:49:34,279,84,96.57692307692308
2024-07-24 18:49:34,279,84,96.57692307692308
2024-07-24 18:49:34,278,81,96.23076923076923
2024-07-24 18:49:34,277,91,95.88461538461539
2024-07-24 18:49:34,273,80,94.5
2024-07-24 18:49:34,268,83,92.76923076923076
2024-07-24 18:49:34,263,85,91.03846153846153
2024-07-24 18:49:34,250,85,86.53846153846155
2024-07-24 18:49:34,242,86,83.76923076923077
2024-07-24 18:49:34,242,86,83.76923076923077
2024-07-24 18:49:34,242,86,83.76923076923077
2024-07-24 18:49:34,242,85,83.76923076923077
2024-07-24 18:49:34,242,85,83.76923076923077
2024-07-24 18:49:35,242,91,83.76923076923077
2024-07-24 18:49:35,242,78,83.76923076923077
2024-07-24 18:49:35,242,80,83.76923076923077
2024-07-24 18:49:35,242,76,83.76923076923077
2024-07-24 18:49:35,242,80,83.76923076923077
2024-07-24 18:49:35,242,87,83.76923076923077
2024-07-24 18:49:35,242,79,83.76923076923077
2024-07-24 18:49:35,242,84,83.76923076923077
2024-07-24 18:49:35,242,82,83.76923076923077
2024-07-24 18:49:35,242,83,83.76923076923077
2024-07-24 18:49:35,242,83,83.76923076923077
2024-07-24 18:49:35,242,84,83.76923076923077
2024-07-24 18:49:35,242,81,83.76923076923077
2024-07-24 18:49:35,242,81,83.76923076923077
2024-07-24 18:49:35,242,84,83.76923076923077
2024-07-24 18:49:35,242,84,83.76923076923077
2024-07-24 18:49:35,242,84,83.76923076923077
2024-07-24 18:49:35,244,83,84.46153846153847
2024-07-24 18:49:35,244,81,84.46153846153847
2024-07-24 18:49:35,244,82,84.46153846153847
2024-07-24 18:49:35,244,84,84.46153846153847
2024-07-24 18:49:35,244,85,84.46153846153847
2024-07-24 18:49:35,244,84,84.46153846153847
